"hospital","test_code","instr_code","qc_name","qc_lot","date_performed","date","time","tech_code","shift","result","modifier","verbose","mean","sd"
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-06-01 07:19:00","2021-06-01","07:19:00",3184,1,75.5,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-06-01 14:59:00","2021-06-01","14:59:00",9007,2,74,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-06-01 22:56:00","2021-06-01","22:56:00",3713,3,74.8,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-06-02 07:21:00","2021-06-02","07:21:00",3184,1,74.1,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-06-02 14:56:00","2021-06-02","14:56:00",9008,2,75.3,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-06-03 07:08:00","2021-06-03","07:08:00",3184,1,74.9,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-06-03 15:07:00","2021-06-03","15:07:00",3543,2,75.7,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-06-03 23:29:00","2021-06-03","23:29:00",3713,3,74.6,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-06-04 07:12:00","2021-06-04","07:12:00",3184,1,72.8,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-06-04 15:09:00","2021-06-04","15:09:00",3543,2,75.6,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-06-05 07:24:00","2021-06-05","07:24:00",3866,1,74.3,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-06-05 15:14:00","2021-06-05","15:14:00",3543,2,74.9,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-06-06 07:20:00","2021-06-06","07:20:00",3866,1,74,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-06-06 15:04:00","2021-06-06","15:04:00",3543,2,73.8,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-06-07 07:07:00","2021-06-07","07:07:00",3543,1,74.1,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-06-07 15:15:00","2021-06-07","15:15:00",3543,2,77.9,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-06-08 07:11:00","2021-06-08","07:11:00",3866,1,76.2,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-06-08 15:07:00","2021-06-08","15:07:00",3537,2,73.3,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-06-09 07:15:00","2021-06-09","07:15:00",3866,1,72.9,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-06-09 15:11:00","2021-06-09","15:11:00",9008,2,75.4,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-06-10 07:09:00","2021-06-10","07:09:00",3866,1,75.4,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-06-10 14:59:00","2021-06-10","14:59:00",3543,2,75.5,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-06-11 07:06:00","2021-06-11","07:06:00",3866,1,72.6,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-06-11 15:17:00","2021-06-11","15:17:00",3543,2,74.8,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-06-12 07:26:00","2021-06-12","07:26:00",9006,1,74.3,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-06-12 15:26:00","2021-06-12","15:26:00",3543,2,74.9,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-06-13 07:32:00","2021-06-13","07:32:00",9006,1,73.8,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
